topicKey,question,acceptableAnswers,explanation
stomach_gcse,What is the main function of the stomach?,digest proteins|mix food,The stomach digests proteins and mixes food.
stomach_gcse,What type of digestion involves churning food?,mechanical digestion,Churning is physical breakdown of food.
stomach_gcse,What is the semi-liquid food in the stomach called?,chyme,Chyme is partially digested food.
stomach_gcse,Name the enzyme that digests proteins in the stomach.,protease|pepsin,Protease breaks down proteins.
stomach_gcse,What substance makes the stomach acidic?,hydrochloric acid|HCl,Hydrochloric acid lowers pH.
stomach_gcse,What is the approximate pH of the stomach?,2|pH 2,The stomach is highly acidic.
stomach_gcse,What protects the stomach lining from acid?,mucus,Mucus prevents damage to the stomach lining.
stomach_gcse,What type of tissue contracts to churn food?,muscle tissue,Muscle tissue causes churning.
stomach_gcse,Where does food go after leaving the stomach?,duodenum|small intestine,Food moves into the small intestine.
stomach_gcse,What structure controls the release of food from the stomach?,pyloric sphincter,The pyloric sphincter controls chyme release.
stomach_gcse,What is mechanical digestion?,physical breakdown of food|breaking food into smaller pieces,Mechanical digestion involves physical processes.
stomach_gcse,Describe one way the stomach is adapted for digestion.,muscular walls|produces acid|produces enzymes|mucus lining,The stomach has features for digestion.
stomach_gcse,Why is hydrochloric acid important?,kills bacteria|provides low pH|optimum conditions for enzymes,Acid helps digestion and kills bacteria.
stomach_gcse,Why does protease work well in the stomach?,acidic conditions|low pH,Protease works best in low pH.
stomach_gcse,Why does amylase not work in the stomach?,denatured|acid denatures enzyme,Amylase is denatured by acid.
stomach_gcse,What happens to food as it is digested in the stomach?,churned and mixed|forms chyme,Food is mixed and becomes chyme.
stomach_gcse,What is peristalsis?,wave-like muscle contractions|movement of muscles to push food,Peristalsis moves and mixes food.
stomach_gcse,What happens to thick food in the stomach?,moves back for mixing|pushed back,Thicker food is re-mixed.
stomach_gcse,What happens to liquid chyme?,moves toward pyloric sphincter|moves forward,Fluid chyme moves forward.
stomach_gcse,Why is food released slowly from the stomach?,allow digestion|efficient digestion,Slow release improves digestion.
stomach_gcse,Explain how the stomach digests food.,churning and enzymes|acid and protease digestion,The stomach uses both mechanical and chemical digestion.
stomach_gcse,What is the role of mucus?,protect lining|protect stomach wall,Mucus prevents damage from acid.
stomach_gcse,What type of tissue produces enzymes?,glandular tissue,Glandular tissue secretes substances.
stomach_gcse,What type of tissue covers the stomach?,epithelial tissue,Epithelial tissue protects surfaces.
stomach_gcse,What is chyme?,semi-liquid digested food|partially digested food,Chyme is food mixed with digestive juices.
stomach_gcse,How does the stomach help protein digestion?,protease enzymes|acid conditions for protease,Protease breaks proteins down.
stomach_gcse,What is the function of the pyloric sphincter?,controls release of chyme|controls food leaving stomach,It regulates movement into intestine.
stomach_gcse,What is the duodenum?,first part of small intestine,It is where chyme enters next.
stomach_gcse,Why is the stomach an organ?,made of different tissues|tissues working together,Organs consist of multiple tissues.
stomach_gcse,What is the role of muscle tissue in the stomach?,churn food|mix food,Muscle tissue causes movement.
